chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score
PC_2,(PC_2 - (-1.6003535 * ((3.1501734 + 0.38949364) / 0.083630905))) / 0.79970896,1.25045491549826,40.054770494661355,12.0,18.932878,0.0037492573222913
PC_2,(((1.5593785 / 0.059878517) - -1.2205596) / 0.33110517) - ((-1.1805272 - 0.5472352) * PC_2),1.72776240000000,55.34395966105633,14.0,18.529997,0.0107545545381995
PC_2,(((((PC_2 * -38.820858) - 29.847486) + (3.7640524 / 26.065403)) / 10.50513) * -0.48587838) - -82.15038,1.79552424341727,57.514517793727926,16.0,18.481476,0.0013109726218369
PC_2,((PC_2 - (((2.0132596 - (-0.39691228 - 0.5690076)) - -1.9159101) / -0.058884013)) + PC_2) + PC_4,2,64.06431771064855,18.0,18.415636,0.0017844233955718
PC_2,((PC_2 - (((2.0132596 - (-0.39691228 - 0.5690076)) - -1.9159101) / -0.058884013)) + (PC_2 / 1.4039899)) + PC_4,1.71225583602845,54.84725094061939,20.0,18.364895,0.001379562252376
PC_2,(PC_2 / 0.5200898) - -83.42453,1.92274487982652,61.58966942886448,6.0,18.505499,0.0226638001241392
PC_2,((1.7958075 * PC_2) + 43.03317) - -40.552414,1.79580750000000,57.523591113582754,8.0,18.481365,0.000652502018692
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.597496,PC_1/PC_2**2 + 1,0.0,10.0,18.227322,0.0069206249678114
PC_2,((PC_2 * 1.7805375) - (PC_1 / PC_2)) - -82.597496,PC_1/PC_2**2 + 1.7805375,0.0,12.0,17.287489,0.0264693082468618
PC_2,(PC_2 - (-84.46639 - PC_2)) - ((0.6048266 * PC_1) / PC_2),0.6048266*PC_1/PC_2**2 + 2,0.0,15.0,16.865484,0.0082379647009861
PC_2,(((PC_2 / 0.55722666) - ((0.6112565 * PC_1) / PC_2)) - -82.73089) - -0.4624219,0.6112565*PC_1/PC_2**2 + 1.79460185914292,0.0,16.0,16.718493,0.0087536945742993
PC_2,((((-0.70333433 - PC_2) * ((0.1149379 * PC_2) + -3.3510108)) - PC_2) - -85.208725) + 2.0441358,2.27017102911189 - 0.2298758*PC_2,41.26135082177588,18.0,16.451107,0.0080613511177506
PC_2,(((((-31.340675 + PC_2) * 1.0456649) * ((-0.46834916 / PC_4) - PC_2)) / 14.407923) - -89.7158) - 1.6089449,-0.145151372616303*PC_2 + 2.27457099748572 - 0.0339907617188462/PC_4,0.0,20.0,16.101143,0.0107512532603572
PC_2,(PC_2 * 1.7943844) - -83.589195,1.79438440000000,57.47800614831574,6.0,18.481361,0.0233164103599579
PC_2,((PC_2 / 0.5572138) - -82.430046) - -1.1597258,1.79464327696120,57.48629853626089,8.0,18.48136,2.705428532231196e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071673605953712
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.597496,PC_1/PC_2**2 + 1,0.0,10.0,18.227322,0.0066736187974274
PC_2,((PC_2 + 42.506477) / 0.51817334) + (-5.1175942 / PC_3),1.92985613655847,61.81745833416329,11.0,17.967539,0.0143549362426101
PC_2,((PC_2 * 1.7805375) - (PC_1 / PC_2)) - -82.597496,PC_1/PC_2**2 + 1.7805375,0.0,12.0,17.287489,0.0385836802511136
PC_2,((PC_2 * ((-0.092215866 * PC_2) + 1.8047925)) - -83.58892) + 0.8471045,1.8047925 - 0.184431732*PC_2,32.57302072826962,13.0,17.231796,0.0032267787889246
PC_2,((PC_2 / 0.5770848) - ((0.6517548 * PC_1) / PC_2)) + 81.73491,0.6517548*PC_1/PC_2**2 + 1.73284758149929,0.0,14.0,16.745234,0.0286426014346256
PC_2,((((PC_2 * 0.11592294) + -2.3820221) * (-0.9772864 - PC_2)) - -86.57093) + 0.81870764,2.26873218728998 - 0.23184588*PC_2,40.94566794814294,15.0,16.450815,0.0177386604121586
PC_2,(((PC_2 - -41.594482) / 0.5081524) - (5.264188 / PC_3)) - (PC_1 / PC_2),PC_1/PC_2**2 + 1.96791356293899,0.0,17.0,16.353266,0.0029736936552807
PC_2,(((-0.37001646 - PC_2) * (-2.3985162 + (0.12000544 * PC_2))) - -89.81399) + (0.9402959 / PC_4),2.35411221191046 - 0.24001088*PC_2,42.56324304938806,18.0,15.685753,0.041674784605568
PC_2,(((-1.0938869 - PC_2) * ((0.12027497 * PC_2) + -2.463458)) - -86.800575) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.24054994*PC_2 + 2.33189078591911,0.0,19.0,15.672303,0.0008578338417916
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(PC_2 * 1.7943844) - -83.589195,1.79438440000000,57.47800614831574,6.0,18.481361,0.0233164103599579
PC_2,((PC_2 / 0.5572138) - -82.430046) - -1.1597258,1.79464327696120,57.48629853626089,8.0,18.48136,2.705428532231196e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071673605953712
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.597496,PC_1/PC_2**2 + 1,0.0,10.0,18.227322,0.0066736187974274
PC_2,((PC_2 + 42.506477) / 0.51817334) + (-5.1175942 / PC_3),1.92985613655847,61.81745833416329,11.0,17.967539,0.0143549362426101
PC_2,((PC_2 * 1.7805375) - (PC_1 / PC_2)) - -82.597496,PC_1/PC_2**2 + 1.7805375,0.0,12.0,17.287489,0.0385836802511136
PC_2,((PC_2 * ((-0.092215866 * PC_2) + 1.8047925)) - -83.58892) + 0.8471045,1.8047925 - 0.184431732*PC_2,32.57302072826962,13.0,17.231796,0.0032267787889246
PC_2,((PC_2 / 0.5770848) - ((0.6517548 * PC_1) / PC_2)) + 81.73491,0.6517548*PC_1/PC_2**2 + 1.73284758149929,0.0,14.0,16.745234,0.0286426014346256
PC_2,((((PC_2 * 0.11592294) + -2.3820221) * (-0.9772864 - PC_2)) - -86.57093) + 0.81870764,2.26873218728998 - 0.23184588*PC_2,40.94566794814294,15.0,16.450815,0.0177386604121586
PC_2,(((PC_2 - -41.594482) / 0.5081524) - (5.264188 / PC_3)) - (PC_1 / PC_2),PC_1/PC_2**2 + 1.96791356293899,0.0,17.0,16.353266,0.0029736936552807
PC_2,(((-0.37001646 - PC_2) * (-2.3985162 + (0.12000544 * PC_2))) - -89.81399) + (0.9402959 / PC_4),2.35411221191046 - 0.24001088*PC_2,42.56324304938806,18.0,15.685753,0.041674784605568
PC_2,(((-1.0938869 - PC_2) * ((0.12027497 * PC_2) + -2.463458)) - -86.800575) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.24054994*PC_2 + 2.33189078591911,0.0,19.0,15.672303,0.0008578338417916
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
PC_2,((PC_2 * (2.3541138 - (PC_2 * 0.1199891))) - -90.69919) + (0.9194108 / PC_4),2.3541138 - 0.2399782*PC_2,42.567765981846726,16.0,15.68616,0.0158653678551915
PC_2,(88.42212 - ((19.70761 - PC_2) * (PC_2 / -8.68299))) - (PC_1 / PC_2),PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,17.0,15.618657,0.0043126337153109
PC_2,(88.42212 - ((PC_2 / -8.68299) * (19.70761 - PC_2))) - ((PC_1 * 0.652493) / PC_2),0.652493*PC_1/PC_2**2 - 0.230335402896928*PC_2 + 2.26968014474277,0.0,19.0,14.797625,0.026999733140857
PC_2,(1.7948467 * PC_2) - -83.58928,1.79484670000000,57.492814615354554,6.0,18.48136,0.0233164374142433
PC_2,(92.624466 + (PC_2 / 0.5572197)) + -9.035368,1.79462427476990,57.485689855050566,8.0,18.481358,5.4108574995072894e-08
PC_2,((PC_2 * 1.7943844) + PC_4) - -83.589195,1.79438440000000,57.47800614831574,9.0,18.349371,0.0071672523782212
PC_2,(PC_2 - (PC_1 / PC_2)) - -82.26436,PC_1/PC_2**2 + 1,0.0,10.0,18.224276,0.0068407445298626
PC_2,(((-0.11039342 * PC_2) - -2.2529805) * PC_2) + 89.39424,2.2529805 - 0.22078684*PC_2,41.95447087219364,11.0,16.455801,0.1020764920301931
PC_2,((PC_2 * ((PC_2 * -0.115924925) - -2.2688177)) + 90.375145) + -0.657374,2.2688177 - 0.23184985*PC_2,40.9478638341013,13.0,16.450813,0.0001515804706678
