complexity,loss,score,equation,sympy_format,lambda_format
1,86.22975,0.0,PC_2,PC_2,PySRFunction(X=>PC_2)
3,21.12281,0.7033308732534013,83.589294 - PC_1,83.589294 - PC_1,PySRFunction(X=>83.589294 - PC_1)
5,19.488436,0.04026611760539938,(-29.763779 / PC_1) + 84.93557,84.93557 - 29.763779/PC_1,PySRFunction(X=>84.93557 - 29.763779/PC_1)
7,18.261156,0.03252254153994516,(PC_2 + 83.59032) + (PC_3 - PC_1),-PC_1 + PC_2 + PC_3 + 83.59032,PySRFunction(X=>-PC_1 + PC_2 + PC_3 + 83.59032)
9,17.065536,0.0338575948784031,(83.69924 + ((PC_2 + PC_3) * 2.0925953)) - PC_1,-PC_1 + (PC_2 + PC_3)*2.0925953 + 83.69924,PySRFunction(X=>-PC_1 + (PC_2 + PC_3)*2.0925953 + 83.69924)
11,16.92078,0.00425926938820326,(((PC_1 - (PC_3 + PC_2)) * -1.8531976) - -83.19355) + 0.45749354,(PC_1 - (PC_2 + PC_3))*(-1.8531976) + 0.45749354 - 1*(-83.19355),PySRFunction(X=>(PC_1 - (PC_2 + PC_3))*(-1.8531976) + 0.45749354 - 1*(-83.19355))
13,16.78696,0.003970028932545473,((((PC_2 / 0.48551208) + PC_3) + 83.61315) + PC_3) - (PC_1 * 1.5576963),-1.5576963*PC_1 + PC_2/0.48551208 + PC_3 + PC_3 + 83.61315,PySRFunction(X=>-1.5576963*PC_1 + PC_2/0.48551208 + PC_3 + PC_3 + 83.61315)
15,16.396694,0.011761332698994265,((-1.9939605 * (PC_1 - (PC_3 + PC_2))) - -81.46) + (PC_1 / (PC_1 + -1.5427783)),PC_1/(PC_1 - 1.5427783) - 1.9939605*(PC_1 - (PC_2 + PC_3)) - 1*(-81.46),PySRFunction(X=>PC_1/(PC_1 - 1.5427783) - 1.9939605*(PC_1 - (PC_2 + PC_3)) - 1*(-81.46))
19,16.341301,0.0008460055794736625,(2.0625978 * ((-0.8597349 * ((PC_1 - 47.569954) - PC_3)) + PC_2)) - ((0.77847755 - PC_4) / (PC_1 + -1.3528877)),-(0.77847755 - PC_4)/(PC_1 - 1.3528877) + 2.0625978*(PC_2 - 0.8597349*(PC_1 - PC_3 - 1*47.569954)),PySRFunction(X=>-(0.77847755 - PC_4)/(PC_1 - 1.3528877) + 2.0625978*(PC_2 - 0.8597349*(PC_1 - PC_3 - 1*47.569954)))
