complexity,loss,score,equation,sympy_format,lambda_format
1,54.5692,0.0,var3,var3,PySRFunction(X=>var3)
2,26.601397,0.7185058878154633,myfunction(55.85216),55.8521600000000,PySRFunction(X=>55.8521600000000)
3,25.737463,0.0330160984437711,var13 - -54.326523,var13 - 1*(-54.326523),PySRFunction(X=>var13 - 1*(-54.326523))
4,14.849479,0.5499828543036505,myfunction(var6 / 0.087067634),var6/0.087067634,PySRFunction(X=>var6/0.087067634)
5,3.384778,1.4786764597010364,3.1416786 * (var6 * var2),3.1416786*var2*var6,PySRFunction(X=>3.1416786*var2*var6)
6,3.3847773,2.068082669134839e-07,myfunction(var2 * (var6 * 3.1416786)),var2*var6*3.1416786,PySRFunction(X=>var2*var6*3.1416786)
7,2.113042,0.4711594985602807,(var6 * (var2 / 0.32918116)) + var13,var13 + var2*var6/0.32918116,PySRFunction(X=>var13 + var2*var6/0.32918116)
8,2.0643446,0.023315824340748612,myfunction((var13 + (var2 * var6)) * 2.8875954),(var13 + var2*var6)*2.8875954,PySRFunction(X=>(var13 + var2*var6)*2.8875954)
9,1.4554224,0.3495166232776061,((var13 + (var2 * var6)) * 2.9717903) - var13,-var13 + (var13 + var2*var6)*2.9717903,PySRFunction(X=>-var13 + (var13 + var2*var6)*2.9717903)
10,3.6113922e-06,12.9067133767644,myfunction(((var6 * 3.0) * var2) + (var13 / var10)),var6*3.0*var2 + var13/var10,PySRFunction(X=>var6*3.0*var2 + var13/var10)
12,3.2732014e-06,0.049162410791551085,myfunction(((3.0 * var6) * var2) + ((var13 / var10) * 1.0000002)),3.0*var2*var6 + var13*1.0000002/var10,PySRFunction(X=>3.0*var2*var6 + var13*1.0000002/var10)
14,3.1830443e-06,0.013965230748086517,myfunction((var6 * ((2288.7913 * var2) / 762.9304)) + (var13 * (1.0000002 / var10))),var6*2288.7913*var2/762.9304 + var13*1.0000002/var10,PySRFunction(X=>var6*2288.7913*var2/762.9304 + var13*1.0000002/var10)
18,3.1572238e-06,0.0020362421855065573,myfunction((0.57030296 * myfunction(myfunction(var2 / 4313.4033) * (22690.062 * var6))) + myfunction(myfunction(var13) / var10)),0.57030296*((var2/4313.4033)*22690.062*var6) + var13/var10,PySRFunction(X=>0.57030296*((var2/4313.4033)*22690.062*var6) + var13/var10)
19,2.9456035e-06,0.06937937743989735,myfunction(((var13 / myfunction(var10)) + ((myfunction(var6) * var2) * 1.5001187)) + ((myfunction(var6) * var2) * 1.4998813)),var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10,PySRFunction(X=>var6*var2*1.4998813 + var6*var2*1.5001187 + var13/var10)
20,2.9301245e-06,0.005268806115082203,myfunction(myfunction(((myfunction(1.4999458) * var6) * var2) + myfunction(((myfunction(1.5000542) * var6) * var2) + (var13 / var10)))),1.4999458*var2*var6 + (1.5000542*var2*var6 + var13/var10),PySRFunction(X=>1.4999458*var2*var6 + (1.5000542*var2*var6 + var13/var10))
