chem,equation,parital derivative w/ respect to chem,integrated_derivative,direction,complexity,loss
Methoxymethylphenol,(((((Na * (P - 3.8771875)) - Isoeugenol) + 29.673666) * 3.8771875) + Methoxymethylphenol) - -0.28668094,1,4.191393611581159,1,19.0,16.711292
Fe,((-10.575468 * (Eugenol - (6.488645 - (P * -1.810991)))) + (Fe * -9.416152)) + 0.6255749,-9.41615200000000,-30.408326736507597,-1,18.0,16.504095
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,(96.87065 + ((0.4426225 / Retene) - (5.630277 * Isoeugenol))) - Fe,-1,-3.229379340574323,-1,14.0,17.145458
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((P - -4.578045) * (12.890319 - Eugenol)) - Fe,-1,-3.229379340574323,-1,12.0,16.860258
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((-9.727479 * Fe) + (-10.816373 * (Eugenol - (6.321933 - (-1.7817446 * P))))) - -1.7024918,-9.72747900000000,-31.413719718470585,-1,18.0,16.50373
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((0.4577534 - (0.16287932 / Fe)) / Retene) + ((36.53752 * 2.5801375) + (-5.1358104 * Isoeugenol))) + -0.76860774,0.16287932/(Fe**2*Retene),0.4892849487465341,1,20.0,17.100933
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((11.625027 - Eugenol) * (P + 5.14285)) + P) - Fe,-1,-3.229379340574323,-1,15.0,16.828407
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((11.625027 - Eugenol) * (P + 5.14285)) + P) - Fe,-1,-3.229379340574323,-1,15.0,16.828407
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((11.625027 - Eugenol) * (P + 5.14285)) + P) - Fe,-1,-3.229379340574323,-1,15.0,16.828407
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((11.625027 - Eugenol) * (P + 5.14285)) + P) - Fe,-1,-3.229379340574323,-1,15.0,16.828407
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((11.625027 - Eugenol) * (P + 5.14285)) + P) - Fe,-1,-3.229379340574323,-1,15.0,16.828407
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,(((11.625027 - Eugenol) * (P + 5.14285)) + P) - Fe,-1,-3.229379340574323,-1,15.0,16.828407
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
Fe,((12.3113165 - Eugenol) * (P - -4.896624)) - Fe,-1,-3.229379340574323,-1,12.0,16.853676
