chem,equation,parital derivative w/ respect to chem,integrated_derivative,direction,complexity,loss
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
PC_3,((PC_2 * (0.54812676 + (PC_2 * -0.08521155))) + 20.207285) + (-0.08521155 / PC_3),0.08521155/PC_3**2,0,0,16.0,3.7810304
