complexity,loss,score,equation,sympy_format,lambda_format
1,22.623602,0.0,83.589195,83.5891950000000,PySRFunction(X=>83.5891950000000)
4,21.801086,0.012344637517884545,77.366486 + Cyp_1_a_1_79654,Cyp_1_a_1_79654 + 77.366486,PySRFunction(X=>Cyp_1_a_1_79654 + 77.366486)
6,19.474737,0.05642084894765885,(12.4705515 * Mt_2_76492) + -32.435574,12.4705515*Mt_2_76492 - 32.435574,PySRFunction(X=>12.4705515*Mt_2_76492 - 32.435574)
8,19.474367,9.499576678633308e-06,((Mt_2_76492 + -2.3576403) * 12.402473) + -2.644357,(Mt_2_76492 - 2.3576403)*12.402473 - 2.644357,PySRFunction(X=>(Mt_2_76492 - 2.3576403)*12.402473 - 2.644357)
9,17.47387,0.10839246579568497,(11.85696 * (Cyp_1_b_1_72511 + Myc_30907)) - 41.25857,11.85696*(Cyp_1_b_1_72511 + Myc_30907) - 1*41.25857,PySRFunction(X=>11.85696*(Cyp_1_b_1_72511 + Myc_30907) - 1*41.25857)
10,16.66753,0.04724410680518111,(Cyp_1_b_1_72511 * (Slc_26_a_4_56472 + Fpr_1_30738)) + 3.1877472,Cyp_1_b_1_72511*(Fpr_1_30738 + Slc_26_a_4_56472) + 3.1877472,PySRFunction(X=>Cyp_1_b_1_72511*(Fpr_1_30738 + Slc_26_a_4_56472) + 3.1877472)
11,16.285448,0.02319056709015064,((Slc_26_a_4_56472 + Fpr_1_30738) * Cyp_1_b_1_72511) + Arf_1_31811,Arf_1_31811 + Cyp_1_b_1_72511*(Fpr_1_30738 + Slc_26_a_4_56472),PySRFunction(X=>Arf_1_31811 + Cyp_1_b_1_72511*(Fpr_1_30738 + Slc_26_a_4_56472))
12,14.801104,0.09557017574568644,(Csrnp_1_69505 * ((Cyp_1_a_1_79654 - -9.515646) + Cxcl_10_29431)) - 38.78118,Csrnp_1_69505*(Cxcl_10_29431 + Cyp_1_a_1_79654 - 1*(-9.515646)) - 1*38.78118,PySRFunction(X=>Csrnp_1_69505*(Cxcl_10_29431 + Cyp_1_a_1_79654 - 1*(-9.515646)) - 1*38.78118)
13,14.732804,0.004625200414304603,-1.1030014 + (((Cyp_1_a_1_79654 + Kbtbd_7_76521) + Cxcl_10_29431) * Csrnp_1_69505),Csrnp_1_69505*(Cxcl_10_29431 + Cyp_1_a_1_79654 + Kbtbd_7_76521) - 1.1030014,PySRFunction(X=>Csrnp_1_69505*(Cxcl_10_29431 + Cyp_1_a_1_79654 + Kbtbd_7_76521) - 1.1030014)
14,14.303821,0.0295498677975662,((-7.933317 * (Tacr_1_72530 - Cyp_1_b_1_72511)) + (15.841788 * Myc_30907)) - 3.8142836,15.841788*Myc_30907 - 7.933317*(-Cyp_1_b_1_72511 + Tacr_1_72530) - 1*3.8142836,PySRFunction(X=>15.841788*Myc_30907 - 7.933317*(-Cyp_1_b_1_72511 + Tacr_1_72530) - 1*3.8142836)
15,13.304985,0.07238792733745372,(((Tspan_4_30708 + Myc_30907) * 11.888584) - (Tacr_1_72530 * Il_4_i_1_71608)) - 3.7703168,-Il_4_i_1_71608*Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)*11.888584 - 1*3.7703168,PySRFunction(X=>-Il_4_i_1_71608*Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)*11.888584 - 1*3.7703168)
16,12.959617,0.026300639014991085,(((Tspan_4_30708 + Myc_30907) * 11.806289) - (Tacr_1_72530 * Il_4_i_1_71608)) - Gm_5737_59680,-Gm_5737_59680 - Il_4_i_1_71608*Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)*11.806289,PySRFunction(X=>-Gm_5737_59680 - Il_4_i_1_71608*Tacr_1_72530 + (Myc_30907 + Tspan_4_30708)*11.806289)
17,12.653072,0.02393810647725881,-0.5737828 + ((149.21953 / Asb_14_29409) - (1.4624332 - ((Cyp_1_a_1_79654 + Arf_1_31811) * Myc_30907))),-(1.4624332 - Myc_30907*(Arf_1_31811 + Cyp_1_a_1_79654)) - 0.5737828 + 149.21953/Asb_14_29409,PySRFunction(X=>-(1.4624332 - Myc_30907*(Arf_1_31811 + Cyp_1_a_1_79654)) - 0.5737828 + 149.21953/Asb_14_29409)
