chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0006353871836956
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
Na,((-16.916107 * (((-12.586008 + Isoeugenol) / Na) - (P - 0.46936798))) * 1.2426546) + -0.89153576,21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,18.0,16.436644,0.00061759736636
Na,((1.0410395 - -0.3062929) * ((((-13.252198 + Isoeugenol) / Na) - (P - 0.9255975)) * -16.94626)) - 0.5420983,22.832245156824*(Isoeugenol - 13.252198)/Na**2,-226.37451618023448,20.0,16.41577,0.0010943237573453
Na,1.2426546 * (-16.916107 * (((Isoeugenol + -12.586008) / Na) - (P - 0.46936798))),21.0208781776422*(Isoeugenol - 12.586008)/Na**2,-193.82728233196033,16.0,16.456959,0.0062139435244543
