Input,Operator,Iteration,RMSE,Complexity,Equation
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,54.586109928005506,2,PySRFunction(X=>var3)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,48.206974456154306,3,PySRFunction(X=>var3 + var7)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,47.64800822993953,4,PySRFunction(X=>var3 + var3)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,44.08087902665921,5,PySRFunction(X=>var1 + var7 + var8)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,24.69789414036417,13,PySRFunction(X=>var3 + var3 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,19.720615434727424,14,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 - 1*(-23.057583))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,18.594916304599312,16,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 18.087322))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,17.54491516097237,17,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-13.10842))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",1,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,17.14792932772958,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - var6 - 16.081818))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",2,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,21.75401944907962,10,PySRFunction(X=>var13 + var6 + var6 + var6 - 1*(-39.42658))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
