complexity,loss,score,equation,sympy_format,lambda_format
1,56.523056,0.0,var6,var6,PySRFunction(X=>var6)
2,26.323965,0.7641688847027924,myfunction(55.66944),55.6694400000000,PySRFunction(X=>55.6694400000000)
3,25.456306,0.03351624874296493,54.144398 + var13,var13 + 54.144398,PySRFunction(X=>var13 + 54.144398)
4,14.955735,0.5318686539483122,myfunction(var6 / 0.087538734),var6/0.087538734,PySRFunction(X=>var6/0.087538734)
5,14.007634,0.06549237160123084,(var7 + var2) * var6,var6*(var2 + var7),PySRFunction(X=>var6*(var2 + var7))
6,3.5740323,1.3659080125259082,myfunction(var2 * (3.1267176 * var6)),var2*3.1267176*var6,PySRFunction(X=>var2*3.1267176*var6)
7,2.588842,0.3224837827059675,((var6 * var2) * 2.985082) + var13,var13 + var6*var2*2.985082,PySRFunction(X=>var13 + var6*var2*2.985082)
8,2.3266482,0.10678198037151304,myfunction(2.8471248 * (var13 + (var6 * var2))),2.8471248*(var13 + var2*var6),PySRFunction(X=>2.8471248*(var13 + var2*var6))
9,1.3494341,0.54474337172944,((var6 * var2) * 2.963501) + (var13 / var10),var6*var2*2.963501 + var13/var10,PySRFunction(X=>var6*var2*2.963501 + var13/var10)
10,1.2810316,0.052019628544194646,myfunction((var13 / var10) + (var6 * (var2 * 2.9850643))),var6*var2*2.9850643 + var13/var10,PySRFunction(X=>var6*var2*2.9850643 + var13/var10)
11,1.2532207,0.0219488931641542,((var2 * (2.9485223 * var6)) + (var13 / var10)) + var10,var10 + var2*2.9485223*var6 + var13/var10,PySRFunction(X=>var10 + var2*2.9485223*var6 + var13/var10)
12,1.2532206,7.979440815598456e-08,myfunction(var10 - ((var6 * (var2 * -2.9485047)) - (var13 / var10))),var10 - (var6*var2*(-2.9485047) - var13/var10),PySRFunction(X=>var10 - (var6*var2*(-2.9485047) - var13/var10))
13,1.1997973,0.043564092020464996,var10 + ((var13 / var10) + (var6 * ((var2 * 3.0255659) - 0.2979334))),var10 + var6*(var2*3.0255659 - 1*0.2979334) + var13/var10,PySRFunction(X=>var10 + var6*(var2*3.0255659 - 1*0.2979334) + var13/var10)
14,1.1915277,0.006916360566117742,myfunction((var13 / var10) - ((-0.11432465 / var11) - ((var2 * var6) / 0.3371273))),-(-var2*var6/0.3371273 - 0.11432465/var11) + var13/var10,PySRFunction(X=>-(-var2*var6/0.3371273 - 0.11432465/var11) + var13/var10)
16,1.1299351,0.026538033923293312,myfunction((5.8045406 + ((var2 + -0.41998804) * ((var6 * 3.3098617) - 1.4971306))) + (var13 / var10)),(var2 - 0.41998804)*(var6*3.3098617 - 1*1.4971306) + 5.8045406 + var13/var10,PySRFunction(X=>(var2 - 0.41998804)*(var6*3.3098617 - 1*1.4971306) + 5.8045406 + var13/var10)
20,1.1299319,7.080062675991268e-07,myfunction((var13 / var10) + (myfunction(5.785784) + myfunction(myfunction((var6 * 3.3086884) - 1.4906278) * (myfunction(var2) + -0.41884395)))),(var2 - 0.41884395)*(var6*3.3086884 - 1*1.4906278) + 5.785784 + var13/var10,PySRFunction(X=>(var2 - 0.41884395)*(var6*3.3086884 - 1*1.4906278) + 5.785784 + var13/var10)
